Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
5.72,49910960875,83.19039451,817.1428571,12.00686106,8.390122294,56,0.7,4.802744425,6282196,2016,Libya
6.1203,52023505367,16.27675216,45.23837682,15.98431629,7.649249305,608,21,68.87483092,7444443,2009,Bulgaria
1.427,3.85737E+11,6.5,20.04213483,84.2,246.7405924,1118,49,52,4867316,2018,Ireland
9.698275,3.55909E+11,87.21440954,19.62022051,9.928714134,27.33241629,652,58,2.856876326,11077841,2008,Greece
2.305502173,13994218939,91.54429646,12.25678986,6.754169404,5.738381225,686,25.8,1.701534133,11563869,2007,Senegal
1.243311429,11914471497,73.23759821,1.478372686,24.21115041,8.528024305,1032,100.3,2.551251382,22436660,2009,Mozambique
20.8338,3.95581E+11,68.36149434,8.37708082,20.89121543,44.48157322,534,492,10.74729022,19495210,2002,Australia
0.87352,4422855929,76.95301768,4.265234375,11.52349116,6.660946898,322,15,11.52349116,9613503,2004,Chad
14.1444,1.538E+11,87.52774397,125.9631312,8.800505955,1.972608941,252,7.132,3.671750078,19432009,2006,Syrian Arab Republic
1.6,1.88033E+11,3.3875,24.33090024,38.30625,117.5206565,677,13.15,58.50625,10546059,2015,Czechia
72.3,2.79117E+11,85.06224066,131.6939891,13.2780083,4.15035731,18.1,1,1.659751037,91240376,2012,"Egypt, Arab Rep."
49.27535714,1.11658E+11,85.42028986,69.20696228,4.811594203,2.298603711,216,35.2,9.768115942,30289040,2009,Iraq
6.043606061,56760355865,60.015,85.03737246,31.96875,17.3813147,89,11.247,8.01625,31624696,2002,Algeria
0.98836,1.00352E+11,1.860168064,22.06653271,22.88323535,107.2734822,2054,7.1,75.25659658,3678732,2011,Puerto Rico
25.326,3.7338E+12,1.296741018,34.71217105,35.28708003,127.8019677,700,107,63.41617894,80645605,2013,Germany
85.128,2.49299E+11,29.44502827,21.61926046,1.291097433,2.898549362,1522,885,1.6614122,18083879,2016,Chile
0.5923,2.82885E+11,33.77369328,16.01676582,59.80040207,492.8469064,703,6,6.425904653,5437272,2006,Denmark
0.2553,25048659900,67.32283465,34.8961181,31.02362205,82.1826888,498,0.78,1.653543307,1156556,2012,Cyprus
0.0253,1663008687,92.59259259,8.433333333,5.925925926,66.08467903,228,0.3,1.481481482,558394,2016,Cabo Verde
50.02666667,60178909297,91.00820853,143.4662078,5.495331788,1.308457122,206,16.34,3.496459678,29339400,2011,Uzbekistan
0.1889,635874002.2,24.19269455,0.44135514,50.55584966,9.781950038,2526,160,25.2514558,4584067,2000,Sierra Leone
18.463,1.46755E+12,63.3583691,7.42380378,22.35515021,71.6109638,534,492,14.28648069,23475686,2014,Australia
0.936090909,1.09347E+11,14.83170254,4.504768571,57.6223092,180.2076473,1118,49,27.54598826,3866243,2001,Ireland
1.4975,9874013098,3.299205255,16.20670996,5.071565277,11.31564672,626,12.71,91.62922947,1370720,2003,Estonia
13.4575,13176313594,95.89212873,11.26150628,2.91364545,0.909405095,1513,337,1.194225819,26169542,2017,Madagascar
28.4703,2.70089E+12,11.03503967,24.92366279,19.37715048,79.84643327,867,200,69.58780984,64710879,2009,France
0.6404,9129594819,32.78688525,1.69867374,38.40749415,46.91185166,1010,148,28.80562061,16394062,2000,Angola
0.0198,13185496836,5.050505051,0.183503244,79.7979798,665.9341837,2156,26,15.15151515,1346973,2015,Equatorial Guinea
0.0079,884328185.2,0,7.9,99.97647612,108.6443686,1583,0.1,0.023523877,105281,2018,St. Vincent and the Grenadines
14.86146154,4.17365E+11,62.26625848,47.58713269,27.69837001,20.97058915,495,44.8,10.0353715,51784921,2010,South Africa
27.865,36169428571,94.29777492,143.5600206,2.700865708,1.364410427,161,1.405,3.001359376,5868561,2016,Turkmenistan
20.282,18190410821,98.1696273,54.75701944,0.99838511,0.79461167,327,47.15,0.831987591,29249157,2011,Afghanistan
3.49,3.92275E+11,2.207840554,9.643547941,20.61796627,103.8464199,1110,55,77.17419318,8363404,2010,Austria
0.02,493825925.9,5,10,95,27.15028492,2083,0.2,0,68755,2010,Dominica
0.01836,1806742742,5.446623094,0.170157553,79.52069717,287.0213709,2156,26,15.03267974,754115,2002,Equatorial Guinea
3.3241,33567868323,56.73716194,5.742097081,25.11958124,14.48857226,1996,109.2,18.14325682,13477017,2007,Guatemala
1.607,10917481688,73.30429372,4.621268764,19.60174238,9.798708404,1976,90.66,7.093963908,7745200,2006,Honduras
4.918461498,1.60565E+11,10.81210812,8.494752155,13.44464184,28.57548211,589,6,75.74325004,9775564,2018,Hungary
0.0079,764781259.3,0,7.9,99.97647612,95.76866421,1583,0.1,0.023523877,107450,2013,St. Vincent and the Grenadines
0.61,4663313620,74.79674797,22.173755,17.56097561,11.03408501,2041,2.751,7.642276423,1186873,2000,Mauritius
33.231,68697759361,88.55573591,5.801501397,9.951664201,2.518341016,2091,1002.8,1.492599891,53040212,2019,Myanmar
0.7057,49840491178,20.78492491,1.871883289,45.26778124,120.4039145,1010,148,33.94729385,29154746,2016,Angola
13.4575,9616879571,95.89212873,11.26150628,2.91364545,0.732983403,1513,337,1.194225819,21117092,2009,Madagascar
183.5,2.31219E+11,93.97656037,112.569781,5.260288907,1.344942423,494,55,0.763150722,205337562,2013,Pakistan
0.6835,50242783066,10.30368764,1.519564251,64.07266811,73.5080952,1113,37.7,25.62364425,4203604,2015,Croatia
9.875,2.11953E+11,65.73248014,8.04808476,9.999588304,20.03176487,1732,327,24.26793155,4900600,2018,New Zealand
9.9158,1.04296E+11,81.4277072,6.782352941,13.0369026,10.1247948,2274,442.4,5.5353902,16696944,2017,Ecuador
16.473,3.81199E+11,61.56323185,52.74735831,23.17037471,20.77257061,495,44.8,15.26639344,54729551,2014,South Africa
0.165,9318395055,42.42424242,0.224215247,49.09090909,75.18022555,1940,170,8.484848485,287523,2002,Iceland
4.8572,2.49424E+11,9.057436306,11.51814086,17.40870762,48.10318127,536,107,73.53385607,5363352,2010,Finland
17.55665,7.47907E+11,62.59364028,7.059368717,23.74020953,60.11432489,534,492,13.66615019,20450966,2006,Australia
1.358155714,16350804543,73.13489196,1.614929506,24.77698223,9.579526415,1032,100.3,2.088125809,24487611,2012,Mozambique
2.413,33271921136,78.61583092,1.835399711,15.00207211,12.78197244,1130,117,6.382096975,5923322,2012,Paraguay
423.9192224,1.55997E+13,36.72930677,26.86433602,12.85274339,39.24558275,715,2818,50.41794985,311583481,2011,United States
1.45,14902474091,83.37931034,13.38379177,13.10344828,9.805270434,1440,13.007,3.517241379,10261206,2013,Haiti
34.904,1.66774E+11,91.49484536,49.02247191,3.178694158,4.778080153,216,35.2,5.326460481,37757813,2015,Iraq
0.65346,8936063723,30.19462635,1.73331565,39.88922211,47.90795244,1010,148,29.91615154,16941587,2001,Angola
1.572,20958412538,73.28244275,2.835497836,18.44783715,14.02913936,1020,80.2,8.269720102,16767761,2016,Zambia
5.658,59199447421,14.75786497,41.82127282,15.99505125,9.50353578,608,21,69.26475787,7075947,2017,Bulgaria
13.4575,13760033097,95.89212873,11.26150628,2.91364545,0.938454736,1513,337,1.194225819,26846541,2018,Madagascar
1.473485714,5322454926,80.07943043,2.570631044,15.83280864,5.286839402,2280,156.21,4.087760934,5323062,2003,Nicaragua
57.307,2.91383E+11,90.37448086,23.01393518,4.77960423,5.670600484,1622,224.51,4.845914913,67328239,2008,Thailand
0.854,6861222332,21.52317881,20.66795741,26.21807001,9.029741005,619,5.4,52.25875118,2040228,2006,North Macedonia
1.14902,12890764531,50.96517032,6.905168269,34.16128527,9.299614448,1485,26.9,14.87354441,2905195,2011,Albania
0.0849,2980484920,58.89281508,0.29737303,29.79976443,44.22820156,2592,28.55,11.30742049,874923,2005,Fiji
22.12125,4.29098E+11,86.06060606,921.71875,10.45342312,21.91301214,59,2.4,3.485970819,28483797,2009,Saudi Arabia
0.4993,3.43193E+11,4,83.21666667,45,668.6222801,2497,0.6,51,5612253,2017,Singapore
0.818,12561016091,51.43031785,7.820267686,45.91687042,12.6111626,748,12.5,2.652811736,17113732,2012,Burkina Faso
